amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
137.185261235,313742.047205,509.77167539,512.43142405,39919.4729497,511.095058598,523.556396579,2.70295831393,2.96585502008,1.70401795764,2.70295831393,2.96585502008,1.70401795764,11183578.1154,1422883.14954,2.23852884822,0.251293937151,-14.4453520931
142.772043289,314966.707981,509.766035775,512.44069097,37568.9745468,510.922731599,523.679036599,2.67300310058,2.87462809427,1.66643964027,2.67300310058,2.87462809427,1.66643964027,11354152.3036,1354214.37069,2.30866824343,0.251869921866,-12.5873425024
142.185212659,316523.359284,509.794371988,512.438917548,39429.1314191,511.003643469,523.46025592,2.65501693777,2.90575002448,1.68690755169,2.65501693777,2.90575002448,1.68690755169,11122687.7638,1385460.24994,2.26153918966,0.24779983948,-13.3786105273
137.189078137,313824.379006,509.780286255,512.428373299,39436.7874826,510.985576249,523.341699136,2.6194061496,2.82500538882,1.6348450016,2.6194061496,2.82500538882,1.6348450016,11421132.6161,1435114.58352,2.25205649157,0.245457411126,-13.4622583557
143.930874502,313214.907991,509.787476158,512.440490343,39128.0247019,510.900463788,523.442912592,2.74463749148,3.01134224384,1.74142961167,2.74463749148,3.01134224384,1.74142961167,10940075.6181,1366618.41035,2.25843264213,0.246384466311,-12.3809770539
136.009624497,319691.592072,509.794354477,512.437434176,37778.5069464,511.198204339,523.524654715,2.60994643448,2.87873775193,1.66891251733,2.60994643448,2.87873775193,1.66891251733,11227756.2177,1326710.35614,2.31879213815,0.251469059786,-15.3227383887
141.100561979,313012.398834,509.77711038,512.4182367,38145.9299001,511.057536498,523.437875087,2.69577381993,2.99546756037,1.7163247736,2.69577381993,2.99546756037,1.7163247736,11049471.297,1346500.40621,2.2853375233,0.248560879309,-14.1274563814
137.845961275,314942.104102,509.75157955,512.40335501,38232.1292383,511.05727139,523.611643281,2.67745404034,2.88104915818,1.67653249273,2.67745404034,2.88104915818,1.67653249273,11231713.0554,1363373.04864,2.28957823787,0.252854618367,-14.1618652998
133.372646116,315015.848595,509.786768635,512.456794514,37683.7174575,511.008616053,523.534101156,2.64255068136,2.89316631603,1.66609357101,2.64255068136,2.89316631603,1.66609357101,11304432.7998,1352193.45611,2.30552486659,0.249128561986,-13.4460015433
131.447269095,313028.181625,509.77562097,512.420891152,38284.524741,511.099759778,523.580877965,2.72073886325,2.99166325585,1.72004348142,2.72073886325,2.99166325585,1.72004348142,11081846.0153,1355285.18777,2.2814535485,0.252044829055,-14.4102223692
141.010483532,318079.255754,509.784031866,512.432905307,40347.3890299,511.022661824,523.538408753,2.70082770051,2.92874559639,1.71486080191,2.70082770051,2.92874559639,1.71486080191,11021183.9299,1397931.34076,2.2418560217,0.249913323303,-13.5886953346
143.596000446,313295.942714,509.787421465,512.409718815,39917.2411954,510.980227664,523.486243306,2.70605379784,2.92409649163,1.69452068881,2.70605379784,2.92409649163,1.69452068881,11170817.0388,1423198.11754,2.23704894536,0.24879713527,-13.1424517591
139.383382663,314444.048231,509.791407767,512.421858816,38391.0445788,511.002151888,523.515161458,2.67463095674,2.93585379223,1.68040198008,2.67463095674,2.93585379223,1.68040198008,11351585.2597,1385846.26151,2.283353652,0.249347978237,-13.3114014448
140.17398627,315295.421338,509.789532214,512.434249366,36077.9663453,510.998290425,523.516702132,2.61640039068,2.91413171647,1.67662044957,2.61640039068,2.91413171647,1.67662044957,11112205.4819,1271437.0381,2.35376351229,0.249095403802,-13.303001836
137.924309902,318293.792169,509.772022312,512.426607553,40849.9181195,510.945194258,523.630879094,2.63938254574,2.88052683878,1.66087839308,2.63938254574,2.88052683878,1.66087839308,11445854.5755,1468851.75624,2.22917564212,0.251313268653,-12.7954633329
137.936125996,315032.269277,509.80115888,512.426186823,38463.161418,511.014140565,523.675163912,2.70395358896,2.94386304999,1.70795272587,2.70395358896,2.94386304999,1.70795272587,11089743.0904,1353902.77205,2.28333501946,0.252687914886,-13.1590347241
136.118800051,316673.029073,509.778714605,512.430887552,39604.6129827,510.987119267,523.526375741,2.70805580212,2.97733124888,1.72931991835,2.70805580212,2.97733124888,1.72931991835,10966372.8288,1371441.30139,2.25721445616,0.249369153547,-13.2844216841
136.530473554,316496.287792,509.795065155,512.410333886,39022.4826508,510.840480423,523.484839844,2.65829074151,2.88598655127,1.67739305442,2.65829074151,2.88598655127,1.67739305442,11211535.5781,1382234.40467,2.27270850201,0.247265397247,-11.5878562046
139.968999824,318249.819667,509.783904494,512.442686974,39322.8793976,511.214762443,523.621867587,2.59546366288,2.88612241255,1.66905291942,2.59546366288,2.88612241255,1.66905291942,11141200.6797,1376505.90684,2.27038479404,0.253746949627,-15.4793370484
140.350339987,310832.805684,509.787143602,512.436762808,38930.0944023,510.983682171,523.577940209,2.72923350885,3.00880495069,1.72315435097,2.72923350885,3.00880495069,1.72315435097,11054796.8274,1384485.07859,2.25565621441,0.250214771774,-13.10874025
137.621832226,315705.850235,509.789371406,512.430105575,38042.5261273,510.969607839,523.661045145,2.60924198684,2.82265463034,1.6279924275,2.60924198684,2.82265463034,1.6279924275,11556197.4237,1392387.67514,2.29763695551,0.251956120739,-12.8398071835
137.895815051,318576.293112,509.786871802,512.422177664,39538.3538219,510.95777684,523.470633476,2.69782635164,2.94052351299,1.71623918489,2.69782635164,2.94052351299,1.71623918489,11049520.6346,1371280.35753,2.26554295533,0.247965818785,-12.9436251497
138.265671164,315089.766807,509.788194305,512.423451396,39000.5737437,510.865454321,523.639349625,2.67520190819,2.95127133379,1.70634554796,2.67520190819,2.95127133379,1.70634554796,11025831.2048,1364655.44513,2.26847081781,0.25059907147,-11.7817824384
133.81586113,315797.928088,509.791767415,512.428858376,36544.8530458,511.031158043,523.484558452,2.635318244,2.87581574249,1.65897165095,2.635318244,2.87581574249,1.65897165095,11351950.2792,1313575.19142,2.34153885659,0.248862664574,-13.6548452708
134.817905861,310070.357245,509.787152464,512.398507052,38288.9465082,511.039648065,523.42594849,2.78858830238,3.00611291851,1.74903639352,2.78858830238,3.00611291851,1.74903639352,10874844.9015,1342824.86298,2.27100924476,0.248408707295,-13.8255571611
139.108487131,315839.058454,509.788075963,512.428264011,36165.5422421,511.039247776,523.49472804,2.58534571415,2.83085982311,1.61968200689,2.58534571415,2.83085982311,1.61968200689,11637096.7742,1332390.18537,2.35303305248,0.249223067574,-13.7654153304
138.524320196,314359.321192,509.773236131,512.419360777,40098.6631317,511.063982981,523.519460958,2.71658592338,2.9610643703,1.72176034256,2.71658592338,2.9610643703,1.72176034256,10972726.4786,1399577.7626,2.23579379999,0.250386965556,-14.1375466604
135.563596136,314015.171347,509.78795399,512.413104956,39031.6580027,510.913268179,523.645601102,2.68219968778,2.9185365305,1.68771147628,2.68219968778,2.9185365305,1.68771147628,11183854.4968,1390048.94731,2.26390353759,0.251426468367,-12.2669228728
144.039017661,312530.800462,509.773598797,512.414761652,38304.270989,511.022127059,523.585921125,2.70607799981,2.95463652926,1.70411625721,2.70607799981,2.95463652926,1.70411625721,11109609.5255,1361536.07227,2.2791741073,0.251419362164,-13.6153975969
141.901891049,312835.682107,509.776241772,512.430719085,38380.5280043,511.027514406,523.585784474,2.67551796235,2.96880907048,1.69976559109,2.67551796235,2.96880907048,1.69976559109,11114685.5852,1363536.64838,2.27807591657,0.251107632797,-13.6625530864
134.074906569,312035.071187,509.765104735,512.425592227,38240.7621936,510.952272595,523.520228565,2.74979047622,2.9469193644,1.71415163023,2.74979047622,2.9469193644,1.71415163023,11086968.1812,1358669.50399,2.27924743395,0.249122860552,-13.0628985528
135.270627444,315792.437886,509.779338182,512.435603082,39192.2581214,511.050319243,523.333763443,2.66180920338,2.88896391003,1.67328242945,2.66180920338,2.88896391003,1.67328242945,11279765.9377,1399813.45027,2.26557481422,0.245874596804,-14.1768512732
137.31241369,311778.626297,509.801100009,512.431108106,37524.7277133,511.048711223,523.606878587,2.65497951672,2.93859728803,1.68186126044,2.65497951672,2.93859728803,1.68186126044,11159612.2608,1343049.45916,2.29889274766,0.251507256366,-13.6005543327
130.691661542,314259.351654,509.796529353,512.439394948,37907.8526517,510.984282433,523.516658731,2.65268268057,2.87207914372,1.65988571758,2.65268268057,2.87207914372,1.65988571758,11341105.809,1367930.2054,2.29647865735,0.248758838462,-13.0885670658
135.202038934,318278.285683,509.796704085,512.420843777,35568.9336693,510.963805083,523.613600622,2.57683717158,2.81913515373,1.62066440592,2.57683717158,2.81913515373,1.62066440592,11622197.1221,1298698.12109,2.37945006237,0.251004289027,-12.7447724965
146.499622598,315293.078241,509.78603927,512.429573576,39537.3164631,511.045895198,523.615238139,2.64227348217,2.90477867148,1.67657608903,2.64227348217,2.90477867148,1.67657608903,11186906.053,1402726.92305,2.25434214568,0.251853885986,-13.7158490098
129.933786387,319887.091996,509.80751477,512.39840366,38156.1529662,511.001876347,523.534483184,2.6289304138,2.83987963816,1.66753875009,2.6289304138,2.83987963816,1.66753875009,11186268.9018,1334201.56199,2.30865952544,0.25008287076,-13.0917219091
136.135025557,316255.005413,509.786627675,512.430127446,40250.5809389,511.072193853,523.544861061,2.66782279736,2.88061685342,1.67920315687,2.66782279736,2.88061685342,1.67920315687,11193105.0775,1424481.96471,2.23823406444,0.250638048249,-14.0661400704
141.648183999,318157.857456,509.781156216,512.423067084,36191.784444,511.047778447,523.418387484,2.63406446833,2.8591994647,1.67276221432,2.63406446833,2.8591994647,1.67276221432,11138333.1493,1266945.4262,2.36015573889,0.247886609529,-14.0122823201
137.504687232,314444.808835,509.768105166,512.414955744,37959.5147604,510.942565171,523.401521502,2.66734799018,2.90348001052,1.68426235307,2.66734799018,2.90348001052,1.68426235307,11134269.472,1344035.01769,2.29562785967,0.246684023276,-13.0507844208
145.333366437,315133.0325,509.791655412,512.426216672,38538.1932416,510.883174567,523.525725384,2.66156919622,2.9057115415,1.67954840047,2.66156919622,2.9057115415,1.67954840047,11218484.367,1371836.91617,2.28157925383,0.248246329779,-12.0508100304
140.412462999,315275.0975,509.774980061,512.441383529,39428.6064822,510.90829476,523.650218329,2.67255943768,2.90505942236,1.6834936434,2.67255943768,2.90505942236,1.6834936434,11203881.0224,1401075.48416,2.25726738588,0.251001204918,-12.3752029703
141.687268626,314157.617024,509.785483218,512.407146974,38665.9248848,510.967300381,523.461906092,2.68644285358,2.95631501755,1.70228443259,2.68644285358,2.95631501755,1.70228443259,11120963.7172,1368670.59818,2.27460871503,0.24821590231,-13.0514934326
139.055384723,315115.657899,509.795634122,512.452165668,36930.9070075,511.018722857,523.577393633,2.66319881977,2.8957711705,1.68431008952,2.66319881977,2.8957711705,1.68431008952,11110343.6254,1302025.72455,2.32776981594,0.250162055137,-13.4038328267
137.239523424,314488.148067,509.777713947,512.449938783,38936.3149771,511.231215452,523.520630343,2.61369328483,2.84603692164,1.63796439736,2.61369328483,2.84603692164,1.63796439736,11450690.8075,1417574.69918,2.26821433658,0.25174892647,-15.8543327166
143.879574552,311692.979797,509.773963202,512.426741152,39016.428762,511.089515381,523.478499249,2.71682606105,2.97479081587,1.71445482634,2.71682606105,2.97479081587,1.71445482634,11040732.8243,1381963.8423,2.25625305042,0.24965047365,-14.4544878985
135.618604547,309413.118099,509.782186638,512.441537147,39182.2718949,511.170960759,523.469630306,2.71624725903,2.95086472363,1.69204064999,2.71624725903,2.95086472363,1.69204064999,11214431.8098,1420050.02012,2.24368408049,0.250033785637,-15.2442378411
142.751437134,313565.79071,509.771049053,512.453614957,38246.2686229,510.84250531,523.439512403,2.70256634937,2.88726376241,1.68111182345,2.70256634937,2.88726376241,1.68111182345,11237670.9662,1370593.51205,2.28441910082,0.245618140576,-11.9558750569
129.791756561,316384.577586,509.789797679,512.444579428,39544.4311295,511.194904087,523.748178261,2.63447833268,2.88198039571,1.66844983322,2.63447833268,2.88198039571,1.66844983322,11236386.0397,1404317.99634,2.25790297534,0.256054144826,-15.0586989281
145.171573072,317397.785509,509.769034361,512.414491341,40029.1059818,510.984801291,523.532359995,2.64666911489,2.89194473929,1.67920687535,2.64666911489,2.89194473929,1.67920687535,11188097.4346,1410909.67721,2.24814256913,0.249925591587,-13.3358522364
134.184737322,318693.323385,509.779818839,512.42889866,38134.7444087,510.911563376,523.392685965,2.63537167535,2.85935300017,1.65670397973,2.63537167535,2.85935300017,1.65670397973,11429028.4083,1367489.6,2.3052132002,0.245750647847,-12.6225672673
138.2045487,319386.02489,509.787389338,512.418070914,38684.3992238,510.876211355,523.755351408,2.61241961785,2.87467323914,1.66034951838,2.61241961785,2.87467323914,1.66034951838,11353419.9123,1375028.06603,2.29203784505,0.253310210754,-11.7807828181
