amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
187.558200017,523703.378142,487.502282583,534.259613086,100244.089033,482.639358534,539.970965412,3.52510414005,3.33404528643,2.75939852994,3.52510414005,3.33404528643,2.75939852994,10990409.2662,2103715.81899,1.79506698134,0.167057819341,41.8217946211
185.985890051,524225.380321,487.522012276,534.260998857,102920.286311,482.669845697,539.96290614,3.61488213984,3.4065626893,2.85994024591,3.61488213984,3.4065626893,2.85994024591,10903832.5327,2140730.63426,1.76754287198,0.166740161319,41.8057939564
179.410300839,525787.910426,487.512886292,534.251680604,104274.922296,482.627055069,540.001297423,3.55691196808,3.39467841207,2.82133908839,3.55691196808,3.39467841207,2.82133908839,10950678.8946,2171751.86406,1.75657710359,0.168029683713,41.7652349183
178.761408623,526783.5532,487.516540665,534.260608103,102715.074609,482.676134264,539.954398848,3.50671433082,3.34081910806,2.78054221735,3.50671433082,3.34081910806,2.78054221735,10888865.6784,2123168.46504,1.77499546359,0.166428870448,41.7771363882
183.005754187,522297.229158,487.513324808,534.252833556,101516.536889,482.626353168,539.958087105,3.65299503535,3.44680176829,2.89909612041,3.65299503535,3.44680176829,2.89909612041,10878921.2164,2114486.1066,1.77845248936,0.167325929175,41.993486202
178.839332875,522843.167645,487.516518702,534.261463895,101635.934932,482.644006304,539.963669952,3.62764954972,3.448383839,2.89785999019,3.62764954972,3.448383839,2.89785999019,10826743.7907,2104619.74633,1.77831054688,0.167055439025,41.9239864259
187.937739296,528952.218227,487.521488128,534.263265136,100776.958477,482.620257068,539.962698712,3.6540258934,3.4561092421,2.94031100244,3.6540258934,3.4561092421,2.94031100244,10815681.7748,2060623.52597,1.80013811725,0.167449920585,42.1061004854
189.919701645,527037.468455,487.508073104,534.258696133,101099.166402,482.657514194,539.934666551,3.59489840714,3.40085948845,2.86457877857,3.59489840714,3.40085948845,2.86457877857,10856395.7897,2082531.90065,1.79273501299,0.166293922374,41.926727898
181.764231786,525643.360044,487.515082802,534.252151966,101321.777273,482.668053925,539.998253323,3.60411888127,3.39513571432,2.85436413972,3.60411888127,3.39513571432,2.85436413972,10896875.5255,2100455.62253,1.78747119901,0.167382706975,41.5548255894
173.295347953,524153.552168,487.510588791,534.25742092,102612.222253,482.670671734,539.993108615,3.64477155204,3.4110313245,2.8897608544,3.64477155204,3.4110313245,2.8897608544,10833214.783,2120790.8395,1.77064878713,0.167104723096,41.5646993656
