amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
230.8711878,651411.793076,512.414781007,511.676957649,83906.0735731,592.040208778,632.447081246,3.76866525062,4.04198299629,2.66691292111,3.76866525062,4.04198299629,2.66691292111,18701391.1138,2408859.25579,2.22515621773,4.0832915518,-49.7904297809
225.691535921,646305.204615,512.45513718,511.674365836,88234.0437419,592.013955514,632.576555177,3.86989122225,4.14420825418,2.74888183132,3.86989122225,4.14420825418,2.74888183132,18619457.3733,2541940.64142,2.1620040384,4.08321740805,-49.736403728
219.531250266,659846.991645,512.449610851,511.664811452,86651.734781,592.104763903,632.485880484,3.70794290946,3.94181772549,2.63226858467,3.70794290946,3.94181772549,2.63226858467,18562229.6496,2437607.68076,2.20416582938,4.08489989353,-49.7890725827
200.472362472,642150.151187,512.446316182,511.66800802,90765.0669357,592.034894576,632.424005707,3.88158510277,4.18277964493,2.76349216442,3.88158510277,4.18277964493,2.76349216442,18573198.2892,2625238.16198,2.12429496635,4.08200034003,-49.7807467851
227.029392989,653977.414707,512.443905334,511.688008614,91854.2524483,591.98889883,632.546046295,3.78829265077,4.01568839665,2.68277984713,3.78829265077,4.01568839665,2.68277984713,18573263.8758,2608702.20965,2.13115930719,4.0821759267,-49.7417644803
230.575372142,651404.170095,512.438957883,511.670286489,89373.8024944,591.97075423,632.53980204,3.7070929454,3.95698457939,2.60568724994,3.7070929454,3.95698457939,2.60568724994,18695458.9906,2565047.46326,2.15660181576,4.08195088547,-49.7344596269
217.938111856,652502.437674,512.448977385,511.685315277,86797.1574794,592.123588432,632.486832151,3.75270224955,4.0142321938,2.64412550666,3.75270224955,4.0142321938,2.64412550666,18782041.4081,2498422.26517,2.19019238037,4.08519478248,-49.8004394805
209.613785005,648202.795147,512.454262244,511.6843956,88203.3643719,592.026917319,632.411507533,3.70767444642,4.01175447005,2.59737602481,3.70767444642,4.01175447005,2.59737602481,18962181.8613,2580251.91779,2.16556549487,4.08111592471,-49.7818425956
207.607011326,649551.645213,512.429232395,511.661742897,85075.2924006,591.985692259,632.458361263,3.94442935017,4.20519563508,2.82457313924,3.94442935017,4.20519563508,2.82457313924,18551219.6755,2429753.12584,2.20702579667,4.08163379493,-49.7600314505
220.17613484,653162.161769,512.442275564,511.678718688,87893.6463636,592.011467907,632.606555583,3.76969232916,4.06470911249,2.67742452465,3.76969232916,4.06470911249,2.67742452465,18744015.0342,2522312.16802,2.17765947233,4.08389159695,-49.7341153997
231.397550174,657809.598666,512.449823179,511.661454534,86282.2523097,592.010895312,632.38016844,3.67113190417,3.93872221943,2.58344269136,3.67113190417,3.93872221943,2.58344269136,18871294.5827,2475269.31184,2.20544809134,4.08065334049,-49.7797146182
223.216225488,640847.262302,512.456947496,511.677666693,81461.8957623,591.977188101,632.429022518,3.94649880552,4.27060365233,2.8292479153,3.94649880552,4.27060365233,2.8292479153,18549528.848,2357940.17803,2.23950025123,4.07991510138,-49.757775068
222.999477095,651819.893039,512.458519758,511.674361407,86074.0232121,591.952751267,632.562434032,3.76552079737,4.01532301423,2.65068647515,3.76552079737,4.01532301423,2.65068647515,18756751.5783,2476862.02508,2.19813952958,4.08110818025,-49.7169321572
225.201962655,647958.887336,512.464688968,511.680654305,84566.4848774,591.96484216,632.440319666,3.76392765954,3.98670700289,2.63006961015,3.76392765954,3.98670700289,2.63006961015,18738974.4422,2445661.23104,2.21087379941,4.07944101254,-49.7487753303
215.464877259,654131.757113,512.465067931,511.684800715,85024.4959892,592.202183153,632.378791079,3.73957252101,4.0276298215,2.64477254494,3.73957252101,4.0276298215,2.64477254494,18818279.6418,2446011.16644,2.21530370645,4.08550301291,-49.8473082219
224.027753114,647325.791796,512.453212024,511.669884014,87459.5981401,591.892508744,632.494490056,3.82310795383,4.10541358152,2.70845348379,3.82310795383,4.10541358152,2.70845348379,18682826.9581,2524218.58302,2.17328907927,4.07857594685,-49.7122789377
