amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
203.365021371,32640.5616342,528.962338495,501.696413656,336613.849486,510.534952436,510.065508675,3.39825954285,3.13379581487,1.98326266554,3.39825954285,3.13379581487,1.98326266554,1110154.91253,11449173.5282,-2.53347638175,0.442093644574,65.7473021743
208.540911818,30588.4587352,529.104960502,501.445629379,338982.491328,510.531731506,510.078211331,3.26175350983,2.9939065595,1.89065005235,3.26175350983,2.9939065595,1.89065005235,1052712.42743,11667084.0998,-2.61163144631,0.447376174762,65.2433962114
206.097315964,31312.375989,529.043404397,501.452254044,338744.453479,510.540980175,510.072402325,3.29308944157,3.02739064784,1.9167401898,3.29308944157,3.02739064784,1.9167401898,1069012.51735,11565545.7786,-2.58545835364,0.445857808752,65.1911203175
198.672041117,31490.8950714,528.982851912,501.541077933,337373.427911,510.532487887,510.060966148,3.34956828196,3.11266557156,1.9737692486,3.34956828196,3.11266557156,1.9737692486,1058777.05218,11343527.1627,-2.57485898862,0.443910583163,65.3859402438
208.825103849,30842.8924934,528.824531611,501.513054876,334632.347933,510.514044328,510.061729306,3.39588534374,3.12756975529,1.96752144723,3.39588534374,3.12756975529,1.96752144723,1063160.19896,11535317.802,-2.58857713557,0.441396983862,65.1448529231
216.045802128,28742.3881138,529.0726945,501.260206599,334730.222785,510.523887034,510.071458449,3.41692906457,3.13669950968,2.00237177604,3.41692906457,3.13669950968,2.00237177604,965151.656835,11240420.0227,-2.66546744836,0.44853864361,64.76114755
208.832204848,31385.0488159,528.65122426,501.783798492,336290.646549,510.53676889,510.063520226,3.28571657266,3.05793549411,1.91042748791,3.28571657266,3.05793549411,1.91042748791,1087338.01499,11651526.9552,-2.57504568083,0.435059706483,65.6087326066
201.555634891,31163.7289349,528.967529619,501.477226292,338212.654363,510.513855973,510.0594952,3.33038007102,3.0703079734,1.9522309724,3.33038007102,3.0703079734,1.9522309724,1050751.11894,11404105.8841,-2.58890344952,0.444544412323,65.229940878
200.917400978,30594.5550131,529.123238163,501.403411546,340917.146597,510.537188528,510.063907117,3.30127017231,3.04178731559,1.94640859152,3.30127017231,3.04178731559,1.94640859152,1019249.83629,11358157.9004,-2.61756812889,0.447885639512,65.1875971995
211.376041779,33616.7612664,528.985357529,501.499837878,340768.179817,510.529848302,510.085808106,3.28629758797,3.015673344,1.92218686414,3.28629758797,3.015673344,1.92218686414,1134179.72535,11497708.4391,-2.51482352996,0.444614645818,65.2226510083
