amplitude_0,amplitude_1,x_0_1,y_0_1,amplitude_2,x_0_2,y_0_2,x_gamma_2,y_gamma_2,alpha_2,x_gamma_1,y_gamma_1,alpha_1,flux1,flux2,delta_m,rho,theta
202.583757828,556048.32626,514.291666751,506.011508455,33099.7557468,510.313672776,521.443562719,3.21059393651,2.57150168644,1.65289397347,3.21059393651,2.57150168644,1.65289397347,21964005.9595,1307406.90396,3.06325194721,0.348378032159,14.6914840481
197.601334495,557482.8415,514.265927637,506.008249951,34141.85474,510.582798962,521.835972794,3.18898236014,2.54930001362,1.64551082372,3.18898236014,2.54930001362,1.64551082372,21923949.1001,1342640.59372,3.03239752876,0.355210499393,13.3127137542
207.28810446,556249.451161,514.259172267,506.0258919,35571.6825886,510.566699299,521.739362865,3.23471766288,2.60212946509,1.66772010634,3.23471766288,2.60212946509,1.66772010634,21917428.2274,1401562.14218,2.98544308717,0.352828023002,13.4391187073
197.773035319,561406.349978,514.275740159,506.023680083,36349.1715282,510.720048217,521.8814184,3.16749700759,2.53799099695,1.64013653012,3.16749700759,2.53799099695,1.64013653012,22009921.111,1425020.13278,2.97199371452,0.355219883869,12.8429975335
200.987337675,556641.883719,514.262696262,506.017948586,36623.9631205,510.186549224,521.751675194,3.19462379813,2.52988812284,1.63369248784,3.19462379813,2.52988812284,1.63369248784,22154550.412,1457587.03818,2.95457110898,0.355301707854,14.7622967469
202.591987374,561221.641589,514.278091095,506.027464761,32187.1968855,510.666502055,521.373439936,3.15072759465,2.5275054131,1.63426761664,3.15072759465,2.5275054131,1.63426761664,21990962.0386,1261189.56955,3.1036596463,0.344604137836,13.4588222463
190.688209942,557259.509355,514.279592644,506.02668901,35464.9208484,510.569956236,521.699563128,3.16666957524,2.50468746662,1.61790970927,3.16666957524,2.50468746662,1.61790970927,22302121.5633,1419288.82267,2.99068849033,0.352052540871,13.5332192018
191.585089986,557117.098934,514.29656558,506.019558137,33074.2351897,510.404311819,521.622216497,3.1638342745,2.52894335883,1.6333640468,3.1638342745,2.52894335883,1.6333640468,21963357.8892,1303846.47475,3.06618070316,0.351520577435,14.2361262356
200.001198981,558490.432713,514.26832827,506.021142568,35038.1910573,510.138874125,521.664065038,3.14755082354,2.52101061238,1.61886950188,3.14755082354,2.52101061238,1.61886950188,22329030.0295,1400801.32245,3.00623328675,0.353683485187,15.0302685159
199.525060248,557746.151852,514.249670138,506.030817296,33828.4354192,510.340029766,521.739448702,3.16842925058,2.55984964114,1.6419802828,3.16842925058,2.55984964114,1.6419802828,22000556.6753,1334329.97345,3.04292607,0.353859479733,14.204505768
213.203648837,555769.228114,514.278681636,506.025079282,36550.4139319,510.442867634,521.438825004,3.20598635695,2.53531330484,1.63402324816,3.20598635695,2.53531330484,1.63402324816,22234754.3564,1462230.60023,2.95504116914,0.347214428247,14.2029606776
199.551903718,551161.632285,514.279219333,506.021096943,32719.0157154,510.699646514,521.770284208,3.16681605243,2.53649398802,1.62075667254,3.16681605243,2.53649398802,1.62075667254,22241711.4054,1320303.21874,3.06623629819,0.353023835162,13.0128613146
195.566414553,555236.327853,514.276615643,506.027819578,37168.1423772,510.145892627,521.622216994,3.24824297677,2.55601976085,1.65327133501,3.24824297677,2.55601976085,1.65327133501,22041771.8634,1475449.18977,2.93580561201,0.352666401218,15.079452774
205.337253504,561699.717027,514.284606468,506.030215822,33524.3806247,510.328812555,521.409777845,3.10480637191,2.50815951049,1.61343741704,3.10480637191,2.50815951049,1.61343741704,22228117.7446,1326607.25768,3.06040079922,0.347144959432,14.6606697508
202.95265741,561744.213138,514.274929968,506.009215474,29117.7345052,510.762260461,521.672859621,3.17392395625,2.54080524099,1.64695888676,3.17392395625,2.54080524099,1.64695888676,21866507.4693,1133406.6092,3.21348420505,0.350874512048,12.8447632749
197.107466671,553860.820616,514.285774557,506.027701689,31752.4064462,510.423006658,521.515055953,3.19500647643,2.5583335095,1.63937619688,3.19500647643,2.5583335095,1.63937619688,22103613.3374,1267141.71322,3.10409521757,0.348918947158,14.2335677254
191.765886273,558210.0039,514.28040414,506.0230212,30672.6725796,510.333546884,521.949625912,3.1662898833,2.51390562139,1.62742808835,3.1662898833,2.51390562139,1.62742808835,22092016.4242,1213864.79072,3.15016260735,0.358678415475,14.1457798409
197.800352304,561781.885052,514.26990981,506.012678579,34637.2434975,510.393969561,521.748843072,3.17938186762,2.54318781387,1.65528593752,3.17938186762,2.54318781387,1.65528593752,21655669.0373,1335158.26792,3.02509714014,0.354263145618,14.0629496096
197.15802817,555218.668587,514.282835889,506.021686744,35892.4567577,510.413528897,521.830523616,3.2064485612,2.55865000087,1.64513109769,3.2064485612,2.55865000087,1.64513109769,22047450.7339,1425220.45479,2.97369083525,0.35576923478,13.9776233298
197.618948583,556507.221445,514.28424006,506.022233683,31141.5140641,510.232140499,521.655394708,3.19148955409,2.58980946491,1.65370920927,3.19148955409,2.58980946491,1.65370920927,21981221.5893,1230003.6231,3.13036358409,0.353041908666,14.7693062771
191.877824194,555121.21476,514.282911425,506.026111274,34669.9609123,509.977446074,521.55216172,3.21640582455,2.56036208719,1.65839931665,3.21640582455,2.56036208719,1.65839931665,21693838.304,1354836.02508,3.01112415697,0.352243540259,15.7538411433
200.732287462,556762.611619,514.276896832,506.023901366,36271.5837218,510.370539406,521.584923183,3.22377995098,2.58594253641,1.67146300448,3.22377995098,2.58594253641,1.67146300448,21609332.1465,1407750.59583,2.96528906262,0.350714650077,14.3224670841
