star,date,HJD,teff,logg,feh,vsini,addmode,rv_meas,rv_meas_err,ccf,instrument,mcmc_logg,mcmc_rv,mcmc_rv_err,mcmc_teff,mcmc_vsini,filename,o2_rv,o2_rv_err,h2o_rv,h2o_rv_err,name,rv_lit,rv_lit_err,o_RV,eRV,wds_binary,sb9_binary,my_binary,separation,K1,known_binary
HIP 106711,2013-11-22,2456618.52674,8000,3.5,0.0,250,ml,3.63571628042,0.553066853953,0.93043481265,TS23,3.8568547418,1.1993136212,0.0320698325976,7731.61436549,232.651665202,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_106711.fits,-0.584156168386,0.054846839903,-0.322397976806,0.0549836993759,HIP 106711,5.3,2.9,1.0,,1.0,0.0,0.0,6.90000009537,,True
HIP 106786,2014-11-01,2456962.58857,8000,3.5,0.0,150,ml,-18.8159394942,0.239195714542,0.959393739136,TS23,3.31244971724,-18.9519695063,0.0259620519464,7821.44102495,156.726106724,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_106786.fits,-0.503988955472,0.0129688605905,-0.240693708655,0.00890386611498,HIP 106786,,,,,1.0,,1.0,0.0,11.3000001907,True
HIP 106786,2014-11-01,2456962.58857,8000,3.5,0.0,150,ml,-18.8159394942,0.239195714542,0.959393739136,TS23,3.31244971724,-18.9519695063,0.0259620519464,7821.44102495,156.726106724,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_106786.fits,-0.503988955472,0.0129688605905,-0.240693708655,0.00890386611498,HIP 106786,,,,,1.0,,1.0,376.0,11.3000001907,True
HIP 109521,2013-10-21,2456586.58285,8000,3.5,0.0,150,ml,-8.9574092591,0.2490537897,0.954793452822,TS23,3.70639908038,-9.663555915,0.0215859309185,8080.66159922,153.090178643,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_109521.fits,-0.625940867104,0.0269722367076,-0.326638432213,0.0275577118682,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,36.7999992371,,True
HIP 109521,2013-10-21,2456586.58285,8000,3.5,0.0,150,ml,-8.9574092591,0.2490537897,0.954793452822,TS23,3.70639908038,-9.663555915,0.0215859309185,8080.66159922,153.090178643,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_109521.fits,-0.625940867104,0.0269722367076,-0.326638432213,0.0275577118682,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,62.4000015259,,True
HIP 109521,2013-10-21,2456586.58285,8000,3.5,0.0,150,ml,-8.9574092591,0.2490537897,0.954793452822,TS23,3.70639908038,-9.663555915,0.0215859309185,8080.66159922,153.090178643,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_109521.fits,-0.625940867104,0.0269722367076,-0.326638432213,0.0275577118682,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,73.5999984741,,True
HIP 109521,2013-10-21,2456586.58285,8000,3.5,0.0,150,ml,-8.9574092591,0.2490537897,0.954793452822,TS23,3.70639908038,-9.663555915,0.0215859309185,8080.66159922,153.090178643,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_109521.fits,-0.625940867104,0.0269722367076,-0.326638432213,0.0275577118682,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,10.0,,True
HIP 109521,2014-11-01,2456962.60667,8000,3.5,0.0,150,ml,-9.35281901724,0.258041460352,0.951844176094,TS23,3.7340679944,-10.0367512356,0.0282212239753,8080.6778049,153.224917856,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_109521.fits,-0.858082916861,0.213157754255,-0.47044283431,0.197877703297,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,36.7999992371,,True
HIP 109521,2014-11-01,2456962.60667,8000,3.5,0.0,150,ml,-9.35281901724,0.258041460352,0.951844176094,TS23,3.7340679944,-10.0367512356,0.0282212239753,8080.6778049,153.224917856,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_109521.fits,-0.858082916861,0.213157754255,-0.47044283431,0.197877703297,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,62.4000015259,,True
HIP 109521,2014-11-01,2456962.60667,8000,3.5,0.0,150,ml,-9.35281901724,0.258041460352,0.951844176094,TS23,3.7340679944,-10.0367512356,0.0282212239753,8080.6778049,153.224917856,/home/kgullikson/School/Research/McDonaldData/20141101/HIP_109521.fits,-0.858082916861,0.213157754255,-0.47044283431,0.197877703297,HIP 109521,-10.7,2.9,1.0,,1.0,0.0,1.0,73.5999984741,,True
