Wavelength        Transmission
2.15789601564751  0.001945097
2.15860103454244  0.001951355
2.15930605343738  0.002018929
2.16001107233232  0.001925419
2.16071609122725  0.001945093
2.16142111012219  0.001962136
2.16212612901713  0.00197641
2.16283114791206  0.001936235
2.163536166807    0.002016444
2.16424118570194  0.001950743
2.16494620459687  0.002095687
2.16565122349181  0.002068812
2.16635624238675  0.002083254
2.16706126128168  0.002053826
2.16776628017662  0.002071357
2.16847129907155  0.002036415
2.16917631796649  0.002142857
2.16988133686143  0.002081285
2.17058635575636  0.002199359
2.1712913746513   0.002133129
2.17199639354624  0.002154613
2.17270141244117  0.002181139
2.17340643133611  0.00220517
2.17411145023105  0.002168505
2.17481646912598  0.002085286
2.17552148802092  0.002096747
2.17622650691586  0.002254323
2.17693152581079  0.002527897
2.17763654470573  0.00229496
2.17834156360066  0.002220162
2.1790465824956   0.002260656
2.17975160139054  0.002216346
2.18045662028547  0.0022664
2.18116163918041  0.002181669
2.18186665807535  0.002309852
2.18257167697028  0.002285193
2.18327669586522  0.002374286
2.18398171476016  0.002370849
2.18468673365509  0.002417767
2.18539175255003  0.002343887
2.18609677144497  0.002465154
2.1868017903399   0.002406882
2.18750680923484  0.002488468
2.18821182812978  0.002499537
2.18891684702471  0.002560931
2.18962186591965  0.002516505
2.19032688481458  0.002601262
2.19103190370952  0.00255447
2.19173692260446  0.002693937
2.19244194149939  0.002674628
2.19314696039433  0.002710255
2.19385197928927  0.002722272
2.1945569981842   0.00280269
2.19526201707914  0.002801495
2.19596703597408  0.002913819
2.19667205486901  0.002866486
2.19737707376395  0.002955609
2.19808209265889  0.002915154
2.19878711155382  0.002897514
2.19949213044876  0.002956716
2.2001971493437   0.003045226
2.20090216823863  0.003065919
2.20160718713357  0.00316098
2.2023122060285   0.003121921
2.20301722492344  0.003184604
2.20372224381838  0.00330731
2.20442726271331  0.003317527
2.20513228160825  0.003308032
2.20583730050319  0.003490241
2.20654231939812  0.003478753
2.20724733829306  0.003601207
2.207952357188    0.003556207
2.20865737608293  0.003565164
2.20936239497787  0.003585615
2.21006741387281  0.003589992
2.21077243276774  0.003717555
2.21147745166268  0.003781573
2.21218247055761  0.003841384
2.21288748945255  0.003978826
2.21359250834749  0.004024742
2.21429752724242  0.004175534
2.21500254613736  0.004171426
2.2157075650323   0.004328102
2.21641258392723  0.004424624
2.21711760282217  0.004534402
2.21782262171711  0.004621928
2.21852764061204  0.004780615
2.21923265950698  0.004868113
2.21993767840192  0.005036819
2.22064269729685  0.005192535
2.22134771619179  0.005373621
2.22205273508672  0.005513676
2.22275775398166  0.005776722
2.2234627728766   0.005947523
2.22416779177153  0.006192279
2.22487281066647  0.006293556
2.22557782956141  0.006600182
2.22628284845634  0.006911302
2.22698786735128  0.007285309
2.22769288624622  0.007569413
2.22839790514115  0.007933425
2.22910292403609  0.00836111
2.22980794293103  0.008904803
2.23051296182596  0.009381617
2.2312179807209   0.009946772
2.23192299961584  0.01059044
2.23262801851077  0.011387
2.23333303740571  0.01217918
2.23403805630064  0.01319134
2.23474307519558  0.01428325
2.23544809409052  0.01542918
2.23615311298545  0.01678339
2.23685813188039  0.01842816
2.23756315077533  0.02010366
2.23826816967026  0.02209662
2.2389731885652   0.02466243
2.23967820746014  0.0275254
2.24038322635507  0.03065238
2.24108824525001  0.03439176
2.24179326414495  0.03906371
2.24249828303988  0.04448808
2.24320330193482  0.05078847
2.24390832082975  0.05829624
2.24461333972469  0.0671569
2.24531835861963  0.07762062
2.24602337751456  0.09049565
2.2467283964095   0.1055188
2.24743341530444  0.1235745
2.24813843419937  0.1448469
2.24884345309431  0.1698729
2.24954847198925  0.1993894
2.25025349088418  0.2344136
2.25095850977912  0.2733841
2.25166352867406  0.3167958
2.25236854756899  0.3652384
2.25307356646393  0.4173307
2.25377858535886  0.4706788
2.2544836042538   0.5248849
2.25518862314874  0.5752038
2.25589364204367  0.623261
2.25659866093861  0.6661851
2.25730367983355  0.7043465
2.25800869872848  0.7335829
2.25871371762342  0.7560201
2.25941873651836  0.7707826
2.26012375541329  0.7811722
2.26082877430823  0.7847269
2.26153379320317  0.7848428
2.2622388120981   0.780406
2.26294383099304  0.7755953
2.26364884988798  0.7685977
2.26435386878291  0.7621446
2.26505888767785  0.7535
2.26576390657278  0.747208
2.26646892546772  0.7391157
2.26717394436266  0.7333564
2.26787896325759  0.7264336
2.26858398215253  0.722377
2.26928900104747  0.7158478
2.2699940199424   0.7119617
2.27069903883734  0.7071515
2.27140405773228  0.7045922
2.27210907662721  0.6999685
2.27281409552215  0.697975
2.27351911441709  0.6939408
2.27422413331202  0.6929098
2.27492915220696  0.6900119
2.27563417110189  0.690235
2.27633918999683  0.6889091
2.27704420889177  0.6893274
2.2777492277867   0.6889073
2.27845424668164  0.6901343
2.27915926557658  0.6884426
2.27986428447151  0.691746
2.28056930336645  0.6861349
2.2833893789462   0.6781269
2.28409439784113  0.691465
2.28479941673607  0.679681
2.28550443563101  0.6678712
2.28620945452594  0.6475559
2.28691447342088  0.6277617
2.28761949231581  0.5980595
2.28832451121075  0.5649112
2.28902953010569  0.5243834
2.28973454900062  0.4842808
2.29043956789556  0.438935
2.2911445867905   0.3947535
2.29184960568543  0.3484626
2.29255462458037  0.306817
2.29325964347531  0.2668496
2.29396466237024  0.2314802
2.29466968126518  0.1989228
2.29537470016012  0.1715123
2.29607971905505  0.1474789
2.29678473794999  0.1270988
2.29748975684492  0.1096181
2.29819477573986  0.09508231
2.2988997946348   0.08213503
2.29960481352973  0.07157088
2.30030983242467  0.06251057
